name,id,city,state,lat,lon,score,rank,rank2,globalScore,country
Golden Sails Hotel,43234,Long Beach, California,33.76559586,-118.11581611,371515.94,12.256213,69.44995880126953,30.0,US
Hotel Maya - A Doubletree BY Hilton Hotel,42760,Long Beach, California,33.757,-118.199,371334.44,11.929384,69.30286407470703,30.0,US
"Motel 6-Fresno, CA - Yosemite Hwy",4700605,Fresno, California,36.836,-119.79013,400954.94,11.810301,97.8209228515625,30.0,US
Economy Inn Fresno,25427003,Fresno, California,36.7957988,-119.7891891,400954.03,11.809777,97.8209228515625,30.0,US
Summerfield Inn Fresno Yosemite,39087,Fresno, California,36.82836,-119.79012,400954.03,11.810301,97.8209228515625,30.0,US
Fresno City Inn,43093,Fresno, California,36.79268,-119.79054,377997.44,12.017747,74.86920928955078,30.0,US
Ramada BY Wyndham Fresno North,41461,Fresno, California,36.80856,-119.78272,375881.2,11.810301,73.04308319091797,30.0,US
"Motel 6-Fresno, CA - Blackstone North",18708704,Fresno, California,36.795312,-119.790618,372013.62,11.810301,69.8177490234375,30.0,US
San Joaquin Hotel,40564,Fresno, California,36.80823,-119.81545,367372.03,11.810301,66.13339233398438,30.0,US
La Quinta Inn & Suites BY Wyndham Fresno Northwest,17783004,Fresno, California,36.809946,-119.880572,366963.97,11.810301,65.81876373291016,30.0,US
Doubletree BY Hilton Fresno Convention Center,40066,Fresno, California,36.73175,-119.78313,365756.12,11.810301,64.8960189819336,30.0,US
Days Inn BY Wyndham Fresno South,1495705,Fresno, California,36.70585,-119.77075,363381.6,11.810426,63.11897277832031,30.0,US
The Monterey Fireplace Inn,7075305,Monterey, California,36.59734,-121.85477,400988.88,11.836448,97.82093048095703,30.0,US
Motel 6 Monterey Park,18150504,Monterey Park, California,34.045105,-118.161946,398972.03,11.831785,97.82093048095703,30.0,US
Monterey Drive Holiday Home,26336603,South Lake Tahoe, California,38.930331,-120.009452,398971.84,11.809777,97.8209228515625,1.0,US
La Cuesta Inn,40572,San Luis Obispo, California,35.28995,-120.65008,398971.56,11.812711,97.8209228515625,30.0,US
Travel Inn Gilroy,60024405,Gilroy, California,36.9813317,-121.5565246,398971.56,11.810301,97.8209228515625,1.0,US
Boardwalk Beachhouse Combo,86200406,San Clemente, California,33.4195,-117.61827,398967.44,0.5,97.81620025634766,30.0,US
Intercontinental The Clement Monterey,9580705,Monterey, California,36.616603,-121.900763,379191.3,11.948928,75.8884506225586,30.0,US
Hilton Garden Inn Monterey,39499,Monterey, California,36.59062,-121.87966,374737.97,12.157779,72.0456771850586,30.0,US
Hyatt Regency Monterey Hotel And SPA,40406,Monterey, California,36.59309,-121.87702,371773.78,13.64896,69.5949478149414,30.0,US
Monterey Tides,43196,Monterey, California,36.61039,-121.85867,370855.1,15.014377,68.8521957397461,30.0,US
Custom Mediterranean-Style Santa Barbara Apartment,147703604,Carpinteria, California,34.417,-119.57,398968.1,0.5,97.81620025634766,1.0,US
Hilton Santa Barbara Beachfront Resort,39032,Santa Barbara, California,34.41627,-119.67382,373412.06,11.837675,71.01287841796875,30.0,US
Ramada BY Wyndham Santa Barbara,41552,Santa Barbara, California,34.44405,-119.787594,373222.22,11.8112545,70.85560607910156,30.0,US
Kimpton Canary Hotel,5477805,Santa Barbara, California,34.42114,-119.70223,364233.2,11.931803,63.79129409790039,30.0,US
Rose Garden Inn,8556805,Santa Barbara, California,34.4404,-119.74113,364166.22,11.810301,63.74135971069336,30.0,US
Mason Beach Inn,40625,Santa Barbara, California,34.40955,-119.69403,364093.88,11.810301,63.68747329711914,30.0,US
"Motel 6-Palm Springs, CA - East - Palm Canyon",18707604,Palm Springs, California,33.801341,-116.541363,171713.02,11.810303,70.3594741821289,30.0,US
Palm Springs Golf Course Home Private Pool And Spa!,125346703,Palm Springs, California,33.7996,-116.48788,171713.0,0.5,5.8549346923828125,30.0,US
"Motel 6-Palm Springs, CA - Downtown",17177404,Palm Springs, California,33.812881,-116.54486,171713.0,13.598396,62.728797912597656,30.0,US
One-Of-A-Kind Palm Springs House With Private Pool!,125327303,Palm Springs, California,33.788,-116.548,171712.98,0.5,5.8549346923828125,30.0,US
"Near Downtown Palm Springs, 6 BD 7 Bth, 80 Ft Pool",125932905,Palm Springs, California,33.85592,-116.54721,171143.44,0.5,1.0,30.0,US
7 Springs Inn & Suites,3086105,Palm Springs, California,33.83606,-116.54562,171143.4,11.810337,10.026429176330566,30.0,US
HI Sacramento Hostel,40607605,Sacramento, California,38.5826189,-121.4929223,400754.72,11.810301,97.8209228515625,30.0,US
Upscale 1890s Historic Apartment,156446003,Sacramento, California,38.57062,-121.47835,400750.6,0.5,97.81620025634766,1.0,US
Travelers Inn,25785504,West Sacramento, California,38.578037,-121.549217,398971.44,11.810301,97.8209228515625,30.0,US
Comfort Suites Woodland - Sacramento Airport,40206904,Woodland, California,38.675215,-121.726344,398971.44,11.765835,97.8209228515625,30.0,US
Super 8 BY Wyndham Sacramento North,4008105,Sacramento, California,38.66115,-121.3631,379984.53,11.812711,76.80326080322266,30.0,US
Kimpton Sawyer Hotel,64690903,Sacramento, California,38.5818752,-121.4992877,376337.6,1.0,73.60417938232422,30.0,US
Anaheim Carriage Inn,4312605,Anaheim, California,33.79511099,-117.915062,175671.19,11.810364,6.607721328735352,30.0,US
"Motel 6-Anaheim, CA - Fullerton East",19795204,Anaheim, California,33.8558349609,-117.88886261,175503.89,12.021393,61.39235305786133,30.0,US
Cambria Hotel & Suites Anaheim Resort Area,77504103,Anaheim, California,33.803813,-117.906277,175005.64,0.5,62.90315246582031,30.0,US
Candlewood Suites Anaheim - Resort Area,1518605,Anaheim, California,33.805974,-117.906399,175005.64,11.811791,63.16303634643555,30.0,US
Capri Suites Anaheim,43595,Anaheim, California,33.79462799,-117.915041,174838.34,11.862453,17.945966720581055,30.0,US
